implementation,condition,epsilon,seed,n_columns,n_dtype_mismatches,mismatch_rate,binary_mismatch_count,categorical_mismatch_count,ordinal_mismatch_count,integer_mismatch_count,continuous_mismatch_count,binary_invalid_rate,categorical_invalid_rate,integer_float_column_rate,out_of_bounds_rate,marginal,correlation,tstr_auc,mia_auc,attribute_inference_auc,nndr,km_l1,cox_spearman,constraint_violation_rate,composition_gap_ratio
synthcity,raw,1.0,0,9,1,0.1111111111111111,0,1,0,0,0,0.0,1.0,0.5,0.0,0.19607654018397483,0.3142857142857143,0.5645645645645646,0.5165406427221172,0.46301925025329277,,0.03129358504573173,-0.03571428571428572,0.0,
synthcity,adapted,1.0,0,9,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0031512605042016808,0.2625801863955458,0.4285714285714286,0.3633633633633634,0.5581285444234405,0.3662613981762918,,0.10911253280416877,0.03571428571428572,0.0,
dpmm,raw,1.0,0,9,1,0.1111111111111111,0,1,0,0,0,0.0,1.0,0.5,0.0,0.5489496338658921,0.14285714285714288,0.5795795795795796,0.4886578449905482,0.5215298885511651,,0.1830107575858747,0.39999999999999997,0.0,
dpmm,adapted,1.0,0,9,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.03466386554621849,0.5056641097797143,-0.8857142857142858,0.3123123123123123,0.524102079395085,0.6433637284701115,,0.15083117538082394,-0.14285714285714288,0.0,
