implementation,condition,n_runs,marginal_mean,marginal_std,marginal_se,marginal_ci_lo,marginal_ci_hi,correlation_mean,correlation_std,correlation_se,correlation_ci_lo,correlation_ci_hi,tstr_auc_mean,tstr_auc_std,tstr_auc_se,tstr_auc_ci_lo,tstr_auc_ci_hi,mia_auc_mean,mia_auc_std,mia_auc_se,mia_auc_ci_lo,mia_auc_ci_hi,attribute_inference_auc_mean,attribute_inference_auc_std,attribute_inference_auc_se,attribute_inference_auc_ci_lo,attribute_inference_auc_ci_hi,nndr_mean,nndr_std,nndr_se,nndr_ci_lo,nndr_ci_hi,km_l1_mean,km_l1_std,km_l1_se,km_l1_ci_lo,km_l1_ci_hi,cox_spearman_mean,cox_spearman_std,cox_spearman_se,cox_spearman_ci_lo,cox_spearman_ci_hi,constraint_violation_rate_mean,constraint_violation_rate_std,constraint_violation_rate_se,constraint_violation_rate_ci_lo,constraint_violation_rate_ci_hi,composition_gap_ratio_mean,composition_gap_ratio_std,composition_gap_ratio_se,composition_gap_ratio_ci_lo,composition_gap_ratio_ci_hi
dpmm,adapted,5,0.46634062575647545,0.035889901379346126,0.01605045183799628,0.4217774273146577,0.5109038241982932,-0.017142857142857147,0.21150577740939142,0.0945882591842677,-0.2797619663641974,0.24547625207848314,0.3956456456456457,0.02915388564406549,0.014576942822032745,0.35517356409866474,0.43611772719262665,0.5781663516068054,0.02297437809711559,0.010274454233186544,0.5496398934424959,0.606692809771115,0.47137791286727454,0.06709566599984519,0.033547832999922596,0.37823419614464643,0.5645216295899026,,,,,,0.20735654674979737,0.10987819116281326,0.04913902093695342,0.07092475259518113,0.34378834090441357,-0.2785714285714287,0.563222325334412,0.2518806811786494,-0.9779043129237759,0.4207614557809185,0.0014705882352941176,0.0032883352610291023,0.0014705882352941174,-0.0026124192723496953,0.0055535957429379305,,,,,
dpmm,raw,5,0.5966631868796902,0.02719154672787719,0.012160429379379074,0.5629004222522097,0.6304259515071707,0.07142857142857144,0.41966945204481093,0.18768188457045706,-0.4496598783213713,0.5925170211785141,0.5698198198198198,0.09790511343675003,0.048952556718375013,0.4339057333321701,0.7057339063074695,0.5529773156899812,0.022243371247146367,0.00994753803147671,0.5253585224137188,0.5805961089662436,0.49936676798378926,0.04552722416971887,0.022763612084859434,0.43616484863415994,0.5625686873334186,,,,,,0.30349683701371977,0.07507484175273713,0.033574489911831935,0.2102791088385013,0.3967145651889382,-0.27999999999999997,0.6099180272790762,0.2727636339397171,-1.0373132563278902,0.4773132563278903,0.0,0.0,0.0,0.0,0.0,,,,,
synthcity,adapted,5,0.23262716351972887,0.02721263431746092,0.012169860036137242,0.1988382151914534,0.26641611184800434,-0.2571428571428572,0.3896623341995959,0.1742622935083075,-0.7409725489745387,0.2266868346888244,0.5039039039039039,0.21915133261256972,0.0980074554162745,0.23179158404049766,0.7760162237673103,0.6081285444234406,0.04790135256787327,0.021422136111189746,0.5486511594746469,0.6676059293722342,0.5328267477203648,0.08037260540428619,0.03594372184255017,0.4330309771480253,0.6326225182927042,,,,,,0.07031764094817176,0.024188774223118947,0.010817548691057725,0.040283310834645744,0.10035197106169778,0.014285714285714258,0.6341674600189913,0.2836083099441689,-0.7731371896521922,0.8017086182236207,0.0,0.0,0.0,0.0,0.0,,,,,
synthcity,raw,5,0.2443975429678044,0.020704852376195345,0.009259491475454167,0.21868907318415898,0.2701060127514498,0.04,0.5196545163149558,0.23239656465900294,-0.6052363044122712,0.6852363044122712,0.4744744744744745,0.09520040531019434,0.0425749155518253,0.35626755858639975,0.5926813903625493,0.5521739130434783,0.058412987265428803,0.02612308205886567,0.4796446097284604,0.6247032163584962,0.5150962512664641,0.08281795559208709,0.03703731569229311,0.4122641774029314,0.6179283251299967,,,,,,0.09456716587938778,0.038880556646477646,0.017387913532911053,0.046290578461334414,0.14284375329744115,-0.35,0.4449260429256411,0.19897697538834458,-0.9024486493640311,0.20244864936403117,0.0,0.0,0.0,0.0,0.0,,,,,
